Nome ,Curriculo ,,,,,,,,,,,,,,,,,,,,,,
Sidraiton Melo,"Graduação em Medicina, (UFPE, 2005)
Residência Médica em Ginecologia e Obstetrícia, (Hospital das Clínicas / UFPE, 2010); 
Mestrado em Neurociências, (UFPE, 2012);
Pós-graduação em Laparoscopia Ginecológica, Hospital das Nações/Hospital Sugisawa (Curitiba-PR; 2024)
Pós-graduação em Histeroscopia Cirúrgica (Cetrus, Campus Recife; 2026) 
Membro Titular da Sociedade Brasileira de Videocirurgia, Robótica e Digital.",,,,,,,,,,,,,,,,,,,,,,
Simone Carvalho,"Ginecologista/obstetra
Título de especialista em Ginecologia e Obstetrícia 
Título de especialista em endoscopia ginecológica 
Mestrado e Doutorado em Tocoginecologia
Professora Adjunta UPE
Supervisora da Residência Médica de Ginecologia e Obstetrícia UPE
Conselheira da SOGOPE
Representante da câmara técnica de Ginecologia e Obstetrícia do CREMEPE
MBA em Qualidade e Segurança do paciente
MBA Executivo em Saúde 
Coordenadora da Ginecologia e Obstetrícia do Complexo Memorial São José/Star",,,,,,,,,,,,,,,,,,,,,,
Sônia Lavínia,,,,,,,,,,,,,,,,,,,,,,,
Taciana Morais,"Ultrassonografista, membro titular do Colégio Brasileiro de Radiologia 
Ultrassonografista do Hospital Agamenon Magalhães, Policlínica Lessa de Andrade, Centro Diagnóstico do Hospital Esperança e Clínica Qualimagem",,,,,,,,,,,,,,,,,,,,,,
Vanessa Freitas,Médica graduada pela UFPE; residência médica em ginecologia e obstetricia pelo IMIP; membro titular da Febrasgo; Followship em Uroginecologia pelo IMIP; membro da Associação  brasileira de Uroginecologia e assoalho pélvico (UROGINAP); atua como preceptora da residência de ginecologia e obstetrícia do Hospital Barão de Lucena.,,,,,,,,,,,,,,,,,,,,,,
Walter Ivo Paiva,"Cirurgia robótica - Hospital israelita Albert Einstein -SP 
Endoscopia ginecologia no instituto Fernandez figueira - FIOCRUZ- RJ 
Ginecologia e Obstetrícia - Hospital Agamenon Magalhães",,,,,,,,,,,,,,,,,,,,,,
William Kondo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
