38;Lilian Rose ;16:35 - 18:05;;31-Oct;Mesa 5 – Metástase hepáticas e câncer de vias biliares;Moderador ;;;;;;;;;;;;;;;;
39;Luis Felipe Carvalho;"11:20 - 11:35
(15 min) ";"Médico Oncologista Clínico 
Preceptor da Residência de Oncologia Clínica do IMIP
Médico Oncologista da Oncologia D’Or e da Rede Americas. Memorize nesse formato";31-Oct;Mesa 3 – Câncer de estômago AVANÇADO;CASO CLINICO METASTATICONAO HER 2;;;;;;;;;;;;;;;;
40;Luiz José Batista;"12:20 - 12:35
(15 min)";;1-Nov;Mesa 8 – Tumores neuroendócrinos e câncer de pâncreas ;Neoadjuvancia em Câncer de Pâncreas ;;;;;;;;;;;;;;;;
41;Marcos Saturnino;"08:00 - 08:15
(15 min) ";;1-Nov;Mesa 6 – Câncer colorretal – diagnóstico e patologia ;Rastreamento do câncer colorretal: o que há de novo?;;;;;;;;;;;;;;;;
42;Maurício Mattos ;09:45 - 11:00;;1-Nov;Mesa 7 – Câncer de reto;Presidente ;;;;;;;;;;;;;;;;
43;Marcos Rivera;16:35 - 18:05;;31-Oct;Mesa 5 – Metástase hepáticas e câncer de vias biliares;Moderador ;;;;;;;;;;;;;;;;
44;Natália Fernandes ;"08:30 - 08:45
(15 min) ";"Mestre e Doutora em Nutrição (UFPE)
Pós graduação em Nutrição pelo Programa de Residência (UPE)
Especialista em Nutrição em Saúde da Mulher 
Especialista em Nutrição Oncológica
Fitoterapeuta";31-Oct;Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;A importância da nutrição do pré e pós-operatório do câncer esofágico ;;;;;;;;;;;;;;;;
45;Olival Lucena ;"16:35 - 16:50
(15 minutos) ";;31-Oct;Mesa 5 – Metástase hepáticas e câncer de vias biliares;E o Tx hepático? Um novo horizonte?;;;;;;;;;;;;;;;;
46;Omar Jacobina ;11:50 - 13:20;;1-Nov;Mesa 8 – Tumores neuroendócrinos e câncer de pâncreas ;Moderador ;;;;;;;;;;;;;;;;
47;Paulo Mozart;08:00 - 09:15 ;"Coloproctologista 
Preceptor da Residência de Coloproctologia do Hospital Barão de Lucena. 
Título de Especialista pela Sociedade Brasileira de Coloproctologia
Mestrado em cirurgia pela UFPE
";1-Nov;Mesa 6 – Câncer colorretal – diagnóstico e patologia ;Moderador ;;;;;;;;;;;;;;;;
48;PATOLOGISTA ;09:30 - 11:00;;31-Oct;Mesa 2 – ESÔFAGO E  ESTÔMAGO:   ;Moderador ;;;;;;;;;;;;;;;;
49;Rafaela Ralph ;08:15 - 09:45;;31-Oct;Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;Moderador ;;;;;;;;;;;;;;;;
50;Ricardo Machado ;09:30 - 11:00;;31-Oct;Mesa 2 – ESÔFAGO E  ESTÔMAGO:   ;Moderador ;;;;;;;;;;;;;;;;
51;Roberto Borges ;"08:45 - 09:00
(15 min) ";;1-Nov;Mesa 6 – Câncer colorretal – diagnóstico e patologia ;Drivers em CCR: velhos conhecidos, novas possibilidades;;;;;;;;;;;;;;;;
52;Rodrigo Arruda ;"09:45 - 10:00
(15 min) ";"Coordenador Oncologia Clínica do Hospital do Câncer de Pernambuco;
Oncologista Clínico do Imip; 
Mestre pelo IMIP";31-Oct;Mesa 2 – ESÔFAGO E  ESTÔMAGO:   ;CASO CLINICO  - Esofago - Doença localizada;;;;;;;;;;;;;;;;
53;Rodrigo Taboada;"15:35 - 16:20
(45 min) ";;31-Oct;Mesa 4– Carcinoma Hepatocelular ;Simpósio Satélite ASTRAZENECA - Tratamento sistêmico do CHC;;;;;;;;;;;;;;;;
54;Rommel Pierre ;11:20 - 12:50;;31-Oct;Mesa 3 – Câncer de estômago AVANÇADO;Moderador ;;;;;;;;;;;;;;;;
;;08:00 - 09:15 ;;1-Nov;Mesa 6 – Câncer colorretal – diagnóstico e patologia ;Presidente ;;;;;;;;;;;;;;;;
55;Rossano Araújo;08:15 - 09:45;"Oncologista clínico do hospital Santa Joana Recife e da clínica professor Antônio Figueira Filho.
Mestre em medicina pela UPE.
Doutorando em medicina translacional -UNIFESP -SP.
Especialista em oncologia mamária pelo MD Anderson Câncer Center-Houston tx-USA.                                                                                                                                                                        Especialização em tumores ginecológicos pela Escola de Tumores Ginecológicos do Instituto Oncoclinicas.
Professor assistente de oncologia mamária da disciplina de mastologia da UPE-PE";31-Oct;Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;Presidente ;;;;;;;;;;;;;;;;
56;Sandra Oliveira ;11:20 - 12:50;;31-Oct;Mesa 3 – Câncer de estômago AVANÇADO;Presidente ;;;;;;;;;;;;;;;;
57;Sélem Asmar ;11:50 - 13:20;;1-Nov;Mesa 8 – Tumores neuroendócrinos e câncer de pâncreas ;Presidente ;;;;;;;;;;;;;;;;
58;Thiago Apolinario;09:30 - 11:00;"Oncologista clínico do Hospital Santa Joana;
Oncologista clínico do Hospital Universitário Oswaldo Cruz - Universidade de Pernambuco;
Fellowship em Oncologia Mamária , Fundação Champalimaud, Lisboa, Portugal.";31-Oct;Mesa 2 – ESÔFAGO E  ESTÔMAGO:   ;Moderador ;;;;;;;;;;;;;;;;
;;"08:30 - 08:45
(15 min) ";;1-Nov;Mesa 6 – Câncer colorretal – diagnóstico e patologia ; Imunoterapia em Câncer  colonrretal : O  que ha de novo ?;;;;;;;;;;;;;;;;
;;"10:00 - 10:15
(15 min) ";;1-Nov;Mesa 7 – Câncer de reto;Terapia neoadjuvante e imunoterapia - Como estamos ?;;;;;;;;;;;;;;;;
59;Tibério Medeiros ;"14:20 - 14:35
(15 min) ";"Médico gastrohepatologista e Coordenador do Instituto do fígado do Hospital Santa Joana.
Médico hepatologista do Hospital Oswaldo Cruz 
Professor de Gastroenterologia da Faculdade de aciencias Médicas - PB";31-Oct;Mesa 4– Carcinoma Hepatocelular ;CASO CLINICO - HCC e Transplante - HEPATO ;;;;;;;;;;;;;;;;
60;Tien Chang ;11:20 - 12:50;;31-Oct;Mesa 3 – Câncer de estômago AVANÇADO;Moderador ;;;;;;;;;;;;;;;;
